통계표,계정항목,단위,가중치,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"4.2.1. 소비자물가지수","        휘발유","2020=100","24.1","원자료","143.29","138.741","132.076","109.182","101.548","108.069","114.509","106.327","100","114.83","130.44","118.3","118.44"
"4.2.1. 소비자물가지수","        경유","2020=100","16.3","원자료","151.358","144.681","137.307","109.142","99.322","107.827","116.789","112.242","100","116.44","153.61","130.29","125.43"
"4.2.1. 소비자물가지수","        자동차용LPG","2020=100","2.8","원자료","139.373","135.525","133.17","102.029","92.788","104.605","110.591","101.934","100","117.97","136.7","120.75","125.76"
"4.2.1. 소비자물가지수","        자동차용품","2020=100","0.9","원자료","108.48","127.103","115.521","109.737","106.474","104.226","102.776","101.658","100","97.69","105.51","113.24","111.52"
"4.2.1. 소비자물가지수","        블랙박스","2020=100","0.2","원자료","","","","108.545","106.714","104.457","100.817","100.792","100","99.28","98.96","102.21","102.28"
"4.2.1. 소비자물가지수","        자동차타이어","2020=100","0.9","원자료","115.615","114.534","113.585","111.147","108.834","108.874","103.065","100.877","100","104.91","114.23","120.17","120.26"
"4.2.1. 소비자물가지수","        자동차수리비","2020=100","6.3","원자료","93.618","93.582","94.023","94.282","94.826","95.516","97.24","98.972","100","102.05","105.97","111.44","114.15"
"4.2.1. 소비자물가지수","        엔진오일교체료","2020=100","1","원자료","83.826","85.06","86.887","88.184","88.547","90.034","94.653","97.771","100","105","114.88","124.64","130.28"
"4.2.1. 소비자물가지수","        세차료","2020=100","0.5","원자료","65.786","69.489","73.22","77.284","81.279","85.195","90.613","96.33","100","104.87","113.49","122.18","129.62"
"4.2.1. 소비자물가지수","        자동차보험료","2020=100","3.7","원자료","90.755","90.137","90.137","90.137","92.327","92.401","91.702","95.559","100","100.35","99.39","97.4","94.71"
"4.2.1. 소비자물가지수","        주차료","2020=100","1.2","원자료","91.298","94.327","95.558","95.979","98.168","99.857","100.12","101.515","100","100.51","105.43","106.54","108.64"
"4.2.1. 소비자물가지수","        도로통행료","2020=100","1.7","원자료","98.753","98.753","98.753","98.753","102.812","102.742","101.422","101.214","100","98.36","98.36","98.09","97.28"
"4.2.1. 소비자물가지수","        승용차임차료","2020=100","3.2","원자료","95.847","110.581","110.489","110.34","110.35","110.152","109.911","110.028","100","98.15","103.06","93.5","86.94"
"4.2.1. 소비자물가지수","        대리운전이용료","2020=100","0.4","원자료","87.698","87.856","87.152","88.103","91.024","92.92","95.206","97.936","100","106.08","119.44","129.48","133.43"
"4.2.1. 소비자물가지수","        자동차검사료","2020=100","0.3","원자료","91.701","91.701","91.701","91.701","95.159","100","100","100","100","100","100","100","100"